UNITID,Institution,City,State,Sector,Control,CohortYear,GRReportingYear,GR200ReportingYear,CohortType,AwardLevel,InitialCohort,Exclusions,AdjustedCohort,Completers100,Completers150,Completers200,TransferOut,GraduationRate100,GraduationRate150,GraduationRate200,TransferOutRate,PeerGroup,DisplayOrder,IsCaldwell,PeerGroupName
184348,Drew University,Madison,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,420,0,420,NA,296,NA,90,NA,70.47619047619048,NA,21.428571428571427,Peer Institution,3,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,283,0,283,108,153,155,NA,38.16254416961131,54.06360424028268,54.77031802120141,NA,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,248,0,248,84,127,127,NA,33.87096774193548,51.20967741935484,51.20967741935484,NA,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,274,0,274,102,142,143,101,37.22627737226277,51.82481751824818,52.18978102189781,36.86131386861314,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,244,0,244,117,146,148,69,47.950819672131146,59.83606557377049,60.65573770491803,28.278688524590162,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2013,2019,2021,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,264,0,264,128,142,144,94,48.484848484848484,53.78787878787878,54.54545454545454,35.60606060606061,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2014,2020,2022,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,285,0,285,130,154,156,50,45.614035087719294,54.03508771929825,54.736842105263165,17.543859649122805,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2015,2021,2023,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,304,0,304,125,154,157,109,41.118421052631575,50.6578947368421,51.64473684210527,35.85526315789473,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2016,2022,2024,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,284,0,284,138,164,166,84,48.59154929577465,57.74647887323944,58.45070422535211,29.577464788732392,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,253,0,253,NA,136,NA,53,NA,53.75494071146245,NA,20.948616600790515,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
232025,Emory & Henry University,Emory,VA,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,268,0,268,NA,151,NA,75,NA,56.343283582089555,NA,27.985074626865668,Peer Institution,4,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2009,2015,2017,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,251,0,251,46,99,104,115,18.326693227091635,39.44223107569721,41.43426294820717,45.81673306772908,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2010,2016,2018,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,324,0,324,66,134,144,132,20.37037037037037,41.358024691358025,44.44444444444444,40.74074074074074,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2011,2017,2019,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,341,0,341,90,160,169,126,26.392961876832842,46.9208211143695,49.56011730205279,36.950146627565985,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2012,2018,2020,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,228,0,228,56,104,107,87,24.561403508771928,45.614035087719294,46.92982456140351,38.15789473684211,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2013,2019,2021,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,151,0,151,40,71,75,50,26.490066225165563,47.019867549668874,49.668874172185426,33.11258278145696,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2014,2020,2022,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,270,0,270,91,144,152,87,33.7037037037037,53.333333333333336,56.2962962962963,32.22222222222222,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2015,2021,2023,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,296,0,296,82,153,161,87,27.7027027027027,51.689189189189186,54.391891891891895,29.39189189189189,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2016,2022,2024,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,316,0,316,96,163,167,96,30.37974683544304,51.58227848101266,52.84810126582279,30.37974683544304,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2017,2023,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,308,0,308,NA,153,NA,94,NA,49.67532467532468,NA,30.519480519480517,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
184612,Felician University,Lodi,NJ,"Private nonprofit, 4-year or above",Private nonprofit,2018,2024,NA,"First-time, full-time degree/certificate-seeking students",Bachelor's degree-seeking cohort,288,0,288,NA,135,NA,95,NA,46.875,NA,32.98611111111111,Peer Institution,5,FALSE,Caldwell University Graduation Rate Peer Group
