"Year","UNITID","Institution","State","Control","InstitutionLevel","CarnegieClassification","TotalFTE","UndergraduateFTE","GraduateFTE","TwelveMonthHeadcount","TotalDegreesAwarded","TotalCompleters","BachelorsDegrees","MastersDegrees","DoctoralDegrees","InstructionExpenses","TotalCoreExpenses","TotalCoreRevenue","TuitionAndFeeRevenue","StudentServicesExpenses","AcademicSupportExpenses","InstitutionalSupportExpenses","ResearchExpenses","FullTimeInstructionalStaff","PartTimeInstructionalStaff","InstructionalStaffFTE","FullTimeStaff","PartTimeStaff","TotalStaffHeadcount","TotalStaffFTE","FinanceReportingStandard","FinanceParentChildStatus","DegreesPer100FTE","DegreesPerFullTimeInstructionalStaff","DegreesPerInstructionalStaffFTE","InstructionExpensesPerDegree","CoreExpensesPerDegree","InstructionExpensesPerFTE","StudentServicesExpensesPerFTE","AcademicSupportExpensesPerFTE","InstitutionalSupportExpensesPerFTE","CoreRevenuePerFTE","TuitionRevenuePerFTE","TuitionDependency","StaffHeadcountPer100FTE","StaffFTEPer100StudentFTE","InstructionShareOfCoreExpenses","StudentServicesShareOfCoreExpenses","AcademicSupportShareOfCoreExpenses","InstitutionalSupportShareOfCoreExpenses","OtherCoreExpenses","OtherCoreExpensesShare"
2015,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1890,1554,336,2527,427,427,285,138,4,12342461,35615527,34609577,30120193,6981748,4533871,11757447,0,79,187,141,217,230,447,294,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",22.5925925925926,5.40506329113924,3.02836879432624,28905.0608899297,83408.7283372365,6530.40264550265,3694.04656084656,2398.87354497354,6220.87142857143,18311.9455026455,15936.6100529101,87.0284921425073,23.6507936507936,15.5555555555556,34.654719555322,19.6031017595219,12.730040468024,33.0121382171321,0,0
2016,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1749,1419,330,2412,437,437,314,120,3,12774846,36322411,35664666,30586822,7307742,4260904,11978919,0,81,196,146,217,239,456,296,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.9857061177816,5.39506172839506,2.99315068493151,29233.057208238,83117.6453089245,7304.08576329331,4178.24013722127,2436.19439679817,6849.0102915952,20391.461406518,17488.1772441395,85.7622555612886,26.0720411663808,16.9239565465981,35.1706994340216,20.1190994727745,11.730785161811,32.9794159313929,0,0
2017,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1904,1553,351,2516,463,462,337,121,5,11804000,35318000,35136000,32145000,8744000,3996000,10774000,0,79,209,149,215,255,470,301,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.3172268907563,5.86075949367089,3.10738255033557,25494.6004319654,76280.777537797,6199.57983193277,4592.43697478992,2098.73949579832,5658.61344537815,18453.781512605,16882.8781512605,91.4873633879781,24.6848739495798,15.8088235294118,33.42205107877,24.7579138116541,11.3143439605867,30.5056911489892,0,0
2018,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1853,1516,337,2397,462,462,353,95,14,11916000,39649000,37497000,33014000,9208000,4105000,10620000,0,79,210,149,222,254,476,307,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.9325418240691,5.84810126582278,3.1006711409396,25792.2077922078,85820.3463203463,6430.65299514301,4969.2390717755,2215.32649757151,5731.2466270912,20235.8337830545,17816.5137614679,88.044376883484,25.6880733944954,16.5677280086346,30.0537214053318,23.2237887462483,10.353350651971,26.7850387147217,3800000,9.58410048172716
2019,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1923,1604,319,2466,444,444,311,124,9,14941000,39468000,37238000,31758000,11212000,4957000,7275000,0,81,222,155,221,270,491,311,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.0889235569423,5.48148148148148,2.86451612903226,33650.9009009009,88891.8918918919,7769.63078523141,5830.47321892876,2577.74310972439,3783.15132605304,19364.5345813833,16514.8205928237,85.283849830818,25.5330213208528,16.1726469058762,37.855984595115,28.407824059998,12.559541907368,18.4326543022195,1083000,2.74399513529948
2020,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1977,1679,298,2435,459,459,335,119,5,16187000,38849000,37548000,33005000,7236000,6086000,9340000,0,80,197,146,211,243,454,292,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.216995447648,5.7375,3.14383561643836,35265.7952069717,84638.3442265795,8187.65806777946,3660.09104704097,3078.40161861406,4724.32979261507,18992.4127465857,16694.4865958523,87.9008202833706,22.9640870005058,14.7698533131007,41.6664521609308,18.6259620582254,15.6657829030348,24.041802877809,0,0
2021,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2006,1705,301,2491,429,429,302,120,7,21696000,35105000,41344000,32587000,0,0,13409000,0,76,198,142,218,241,459,297,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.3858424725823,5.64473684210526,3.02112676056338,50573.4265734266,81829.8368298368,10815.5533399801,0,0,6684.44666001994,20610.1694915254,16244.7657028913,78.8191756965944,22.8813559322034,14.8055832502493,61.8031619427432,0,0,38.1968380572568,0,0
2022,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1905,1607,298,2309,453,453,336,103,14,14950000,41982000,41259000,29381000,6022000,4330000,16680000,0,79,175,137,213,220,433,287,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.7795275590551,5.73417721518987,3.30656934306569,33002.2075055188,92675.4966887417,7847.76902887139,3161.15485564304,2272.96587926509,8755.90551181102,21658.2677165354,15423.0971128609,71.2111296929155,22.7296587926509,15.0656167979003,35.6104997379829,14.3442427707113,10.3139440712686,39.7313134200372,0,0
2023,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1710,1507,203,2160,432,432,333,94,5,15132082,35118711,35755974,29715131,7805038,4084803,8096788,0,77,166,132,193,206,399,262,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",25.2631578947368,5.61038961038961,3.27272727272727,35027.9675925926,81293.3125,8849.17076023392,4564.34970760234,2388.77368421053,4734.96374269006,20909.9263157895,17377.2695906433,83.105360239942,23.3333333333333,15.3216374269006,43.0883753108137,22.2247280089523,11.6314149457251,23.055481734509,0,0
2024,183910,"Caldwell University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1650,1413,237,2068,393,393,297,84,12,14981939,33645102,35187907,28121670,2091335,4337905,7645659,0,80,171,137,204,215,419,275.66,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.8181818181818,4.9125,2.86861313868613,38121.9821882952,85610.9465648855,9079.96303030303,1267.47575757576,2629.03333333333,4633.73272727273,21326.0042424242,17043.4363636364,79.9185640680476,25.3939393939394,16.7066666666667,44.5293314908066,6.21586761722405,12.8931248298787,22.7244340052825,4588264,13.6372420568081
2015,183974,"Centenary College","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",2055,1573,482,2945,635,635,426,209,0,12703093,33385822,37583569,31361104,9437755,2538047,8706927,0,76,138,122,269,149,418,318,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",30.9002433090024,8.35526315789474,5.20491803278689,20004.8708661417,52576.0976377953,6181.55377128954,4592.58150851581,1235.05936739659,4236.94744525547,18288.8413625304,15260.8778588808,83.4436559231509,20.3406326034063,15.4744525547445,38.0493641881874,28.2687513280338,7.60217016672526,26.0797143170535,0,0
2016,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1814,1436,378,2688,601,600,396,205,0,12946140,33002521,35045611,30607672,9365720,2373370,8316931,0,82,141,129,268,159,427,321,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",33.1312017640573,7.32926829268293,4.65891472868217,21540.9983361065,54912.6805324459,7136.79162072767,5163.02094818082,1308.36273428886,4584.8572216097,19319.5209481808,16873.0275633958,87.3366767667426,23.5391400220507,17.6957001102536,39.22773051186,28.3788017285104,7.19148091747294,25.2008960163983,360,0.00109082575843221
2017,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1801,1411,390,2534,523,514,359,164,0,9951640,38975938,33206273,28146431,9429550,2461043,17106679,0,82,127,124,210,149,359,259,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.0394225430317,6.3780487804878,4.21774193548387,19027.9923518164,74523.7820267686,5525.61910049972,5235.73014991671,1366.4869516935,9498.43364797335,18437.686285397,15628.2237645752,84.7623911301338,19.9333703498057,14.3808995002776,25.5327787108036,24.1932599543852,6.31426240466618,43.8903587131117,27026,0.0693402170333912
2018,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1707,1340,367,2421,509,501,345,164,0,11981972,37822939,36046548,26810245,4319110,2788301,18656283,0,84,130,127,216,160,376,269,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",29.8183948447569,6.05952380952381,4.00787401574803,23540.2200392927,74308.3280943026,7019.31575864089,2530.23432923257,1633.4510837727,10929.2811950791,21116.8998242531,15706.0603397774,74.3767336611539,22.0269478617458,15.7586408904511,31.6791140952849,11.419287115684,7.37198396983376,49.3253128742851,77273,0.204301944912319
2019,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1577,1284,293,2180,540,519,351,181,8,12354978,38107053,27788926,23398331,3325500,2601000,19399623,0,77,84,105,184,104,288,219,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",34.2422320862397,7.01298701298701,5.14285714285714,22879.5888888889,70568.6166666667,7834.48192771084,2108.75079264426,1649.33417882055,12301.5998731769,17621.3861762841,14837.2422320862,84.2001990289225,18.2625237793278,13.8871274571972,32.4217619242296,8.72673098074522,6.82550812837718,50.9082216355067,425952,1.1177773311413
2020,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1481,1203,278,2062,537,523,366,167,4,13132278,29449562,34341754,23134960,8184525,3086950,4722027,0,66,123,107,188,140,328,234,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",36.2592842673869,8.13636363636364,5.01869158878505,24454.8938547486,54840.8975791434,8867.16948008103,5526.35043889264,2084.36866981769,3188.40445644835,23188.2201215395,15621.1748818366,67.3668561017588,22.1471978392978,15.8001350438893,44.5924390997734,27.7916697029314,10.482159293235,16.0342860107733,323782,1.09944589328697
2021,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1306,1054,252,1940,497,463,335,143,19,12755449,28264282,31739652,21787196,8096997,2673997,4735587,0,64,111,101,171,161,332,225,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",38.0551301684533,7.765625,4.92079207920792,25664.8873239437,56869.7826961771,9766.80627871363,6199.84456355283,2047.47090352221,3626.02373660031,24302.9494640123,16682.3859111792,68.643462127436,25.4211332312404,17.2281776416539,45.1292164435665,28.6474533476562,9.46069318159223,16.7546693738762,2252,0.00796765330886523
2022,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1340,1114,226,1755,427,414,301,116,10,12524231,29433818,24846939,20517661,9706757,2651618,4542611,0,60,150,110,173,207,380,242,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",31.865671641791,7.11666666666667,3.88181818181818,29330.7517564403,68931.6580796253,9346.44104477612,7243.84850746269,1978.81940298507,3390.00820895522,18542.4917910448,15311.6873134328,82.5762119028022,28.3582089552239,18.0597014925373,42.550480539086,32.9782463151739,9.00874633389389,15.4333053224695,8601,0.0292214893766075
2023,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1231,1001,230,1686,377,348,245,120,12,13218369,29766751,24452793,20678553,7503060,3018094,6014871,0,57,110,94,170,173,343,227,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",30.625507717303,6.6140350877193,4.01063829787234,35061.9867374005,78956.899204244,10737.9114541024,6095.09341998375,2451.74167343623,4886.16653127539,19864.1697806661,16798.1746547522,84.565198748462,27.8635255889521,18.4402924451665,44.4064889715374,25.2061771874263,10.1391448465437,20.2066762341648,12357,0.0415127603277899
2024,183974,"Centenary University","NJ","Private not-for-profit","Four or more years","Master's Colleges & Universities: Medium Programs",1215,966,249,1740,376,376,239,137,0,13652080,29109023,26167267,22048191,7372566,2924091,5146319,0,56,116,94.67,176,181,357,236.33,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",30.9465020576132,6.71428571428571,3.971691137636,36308.7234042553,77417.6143617021,11236.2798353909,6067.95555555556,2406.65925925926,4235.65349794239,21536.8452674897,18146.6592592593,84.2586694284887,29.3827160493827,19.4510288065844,46.8998220929641,25.3274251080155,10.0453079445504,17.6794631685165,13967,0.0479816859535272
2015,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1776,1621,155,2269,427,427,357,70,0,15475012,35719089,39173773,30603494,7176535,3168338,9899204,0,80,135,125,247,168,415,302,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.0427927927928,5.3375,3.416,36241.2459016393,83651.262295082,8713.40765765766,4040.84177927928,1783.9740990991,5573.87612612613,22057.3046171171,17231.6970720721,78.1224060291563,23.3671171171171,17.0045045045045,43.3242068407736,20.0915958410921,8.87015343532418,27.7140438828101,0,0
2016,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1689,1569,120,2041,400,399,348,52,0,14714937,35074044,39025627,34288462,6997576,4170787,9190744,0,81,131,125,248,168,416,304,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.6826524570752,4.93827160493827,3.2,36787.3425,87685.11,8712.21847246892,4143.02901124926,2469.38247483718,5441.52989934873,23105.7590290112,20301.0432208407,87.8613993825135,24.6299585553582,17.9988158673771,41.9539218232149,19.9508673707543,11.8913775668412,26.2038332391896,0,0
2017,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1806,1628,178,2232,384,384,320,64,0,16083664,39726599,46076482,35816187,7443637,4719883,11479415,0,81,136,126,258,176,434,316,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.2624584717608,4.74074074074074,3.04761904761905,41884.5416666667,103454.684895833,8905.68327796235,4121.61517165006,2613.44573643411,6356.26522702104,25513.0022148394,19831.7757475083,77.7320347503961,24.031007751938,17.4972314507198,40.4858820157245,18.7371614670564,11.8809138431407,28.8960426740784,0,0
2018,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1832,1649,183,2290,487,472,420,67,0,17225706,41035767,43882862,35702390,7918699,5250119,10641243,0,78,145,126,293,171,464,349,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",26.5829694323144,6.24358974358974,3.86507936507937,35371.0595482546,84262.3552361396,9402.67794759825,4322.43395196507,2865.78548034935,5808.53875545851,23953.5272925764,19488.2041484716,81.3583899792133,25.3275109170306,19.0502183406114,41.9772975121922,19.2970658986342,12.7940072376374,25.9316293515362,0,0
2019,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",1829,1647,182,2234,402,397,324,78,0,16738627,41802896,42310754,35087980,8122529,5249079,11692661,0,82,138,128,306,155,461,357,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.9792236194642,4.90243902439024,3.140625,41638.3756218905,103987.303482587,9151.79168944779,4440.96719518863,2869.91744122471,6392.92564242756,23133.2717331875,19184.2427556042,82.9292240927685,25.2050300710771,19.5188627665391,40.0417880139213,19.4305413672775,12.5567353036976,27.9709353151035,0,0
2020,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Master's Colleges & Universities: Small Programs",2134,1937,197,2489,448,448,400,48,0,17844047,45018196,55290749,38455310,7742289,7263303,12168557,0,76,226,151,311,248,559,393,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.9934395501406,5.89473684210526,2.96688741721854,39830.4620535714,100487.044642857,8361.7839737582,3628.06419868791,3403.60965323336,5702.22914714152,25909.4418931584,18020.2952202437,69.551074448277,26.194939081537,18.4161199625117,39.6374101707674,17.1981325062426,16.1341494003891,27.0303079226009,0,0
2021,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Baccalaureate Colleges: Diverse Fields",3251,2733,518,3245,617,617,524,93,0,24422201,51889311,65610879,48897737,8530023,7399807,11537280,0,68,224,143,300,250,550,383,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",18.9787757613042,9.07352941176471,4.31468531468532,39582.1734197731,84099.3695299838,7512.2119347893,2623.81513380498,2276.16333435866,3548.84035681329,20181.7529990772,15040.8295908951,74.5268738131065,16.9178714241772,11.7809904644725,47.0659573799313,16.4388827594955,14.2607540115536,22.2344058490197,0,0
2022,193399,"College of Mount Saint Vincent","NY","Private not-for-profit","Four or more years","Baccalaureate Colleges: Diverse Fields",3452,2644,808,3669,1037,1036,809,228,0,28643580,57918159,57822070,48661864,9859965,6842566,12572048,0,79,187,141,320,232,552,396,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",30.0405561993048,13.126582278481,7.35460992907801,27621.581485053,55851.6480231437,8297.67670915411,2856.3050405562,1982.2033603708,3641.96060254925,16750.3099652375,14096.7161066049,84.1579417686015,15.9907300115875,11.4716106604867,49.4552666979625,17.0239613451802,11.8141980307074,21.7065739261498,0,0
2015,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2041,1561,427,2562,530,530,325,123,82,28919000,70262000,51183000,34431000,13935000,11511000,15897000,0,146,103,180,461,158,619,513,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",25.9676629103381,3.63013698630137,2.94444444444444,54564.1509433962,132569.811320755,14169.0347868692,6827.53552180304,5639.88241058305,7788.82900538952,25077.413032827,16869.6717295443,67.2703827442706,30.328270455659,25.1347378735914,41.158805613276,19.832911104153,16.3829666106857,22.6253166718852,0,0
2016,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2007,1561,387,2374,423,423,266,97,60,30141000,75479000,40907000,32931000,15007000,8791000,21540000,0,150,92,181,471,150,621,521,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.0762331838565,2.82,2.33701657458564,71255.3191489362,178437.352245863,15017.9372197309,7477.3293472845,4380.16940707524,10732.4364723468,20382.1624314898,16408.0717488789,80.5021145525216,30.9417040358744,25.9591429995017,39.9329614859762,19.8823513825037,11.6469481577657,28.5377389737543,0,0
2017,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2062,1629,369,2434,507,507,353,99,55,31257000,79545000,53331000,32718000,15882000,9944000,22462000,0,148,100,181,443,154,597,493,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.5877788554801,3.42567567567568,2.80110497237569,61650.8875739645,156893.49112426,15158.5838991271,7702.23084384093,4822.50242483026,10893.3074684772,25863.7245392823,15867.1193016489,61.3489340158632,28.9524733268671,23.9088263821533,39.294738827079,19.9660569488969,12.5011000062858,28.2381042177384,0,0
2018,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2079,1673,342,2397,450,450,304,89,57,28670000,77030000,49602000,33166000,15945000,8265000,24150000,0,150,103,184,440,156,596,491,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",21.6450216450216,3,2.44565217391304,63711.1111111111,171177.777777778,13790.2837902838,7669.55266955267,3975.46897546898,11616.1616161616,23858.5858585859,15952.861952862,66.8642393451877,28.6676286676287,23.6171236171236,37.2192652213423,20.6997273789433,10.7295858756329,31.3514215240815,0,0
2019,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2273,1819,374,2564,459,459,345,70,44,29622496,81094033,55133000,33486000,17044803,9102607,25063388,0,139,105,174,391,177,568,449,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.1935767707875,3.3021582733813,2.63793103448276,64537.0283224401,176675.453159041,13032.3343598768,7498.81346238451,4004.6665200176,11026.5675318962,24255.6093268808,14732.0721513418,60.736763825658,24.9890013198416,19.7536295644523,36.5285766463237,21.0185661872311,11.2247555871343,30.9065748400995,260739,0.321526739211503
2020,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2528,1940,403,2656,525,524,362,123,40,27250000,71174000,35333000,35460000,17163000,9483000,17278000,0,130,110,167,322,156,478,375,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.7674050632911,4.03846153846154,3.1437125748503,51904.7619047619,135569.523809524,10779.2721518987,6789.16139240506,3751.18670886076,6834.65189873418,13976.6613924051,14026.8987341772,100.359437353183,18.9082278481013,14.8338607594937,38.2864529182005,24.1141428049569,13.3236856155338,24.2757186613089,0,0
2021,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2262,1716,378,2571,560,560,400,111,49,22429000,63255000,69372000,35654000,14575000,7880000,18371000,0,131,128,174,301,181,482,362,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.7568523430592,4.27480916030534,3.2183908045977,40051.7857142857,112955.357142857,9915.56145004421,6443.41290893015,3483.64279398762,8121.57382847038,30668.4350132626,15762.157382847,51.3953756558842,21.3085764809903,16.0035366931919,35.4580665560035,23.0416567860248,12.4575132400601,29.0427634179116,0,0
2022,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2145,1684,307,2424,533,533,373,98,62,23921000,70342000,46728000,36844000,17566000,8329000,20526000,0,131,139,177,319,185,504,379,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.8484848484848,4.06870229007634,3.01129943502825,44879.9249530957,131973.73358349,11151.9813519814,8189.27738927739,3882.98368298368,9569.23076923077,21784.6153846154,17176.68997669,78.8478000342407,23.4965034965035,17.6689976689977,34.0067100736402,24.972278297461,11.8407210485912,29.1802905803076,0,0
2023,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2169,1733,259,2405,535,535,380,101,54,26068000,75788000,51652000,35878000,16798000,9890000,23032000,0,146,106,181,312,160,472,364,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",24.665744582757,3.66438356164384,2.95580110497238,48725.2336448598,141659.813084112,12018.4416781927,7744.58275703089,4559.70493314892,10618.7183033656,23813.7390502536,16541.2632549562,69.4610082862232,21.7611802674043,16.7819271553711,34.3959465878503,22.1644587533646,13.0495592969863,30.3900353617987,0,0
2024,184348,"Drew University","NJ","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",2192,1755,248,2502,516,516,372,81,63,26081000,77803000,53199000,33683000,18103000,9694000,23925000,0,139,109,175.33,323,172,495,380.32,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.5401459854015,3.71223021582734,2.94302173045115,50544.5736434109,150781.007751938,11898.2664233577,8258.66788321168,4422.44525547445,10914.6897810219,24269.6167883212,15366.3321167883,63.315099907893,22.5821167883212,17.3503649635037,33.5218436307083,23.2677403184967,12.459673791499,30.7507422592959,0,0
2015,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1015,987,28,1119,236,220,219,17,0,11793155,27381869,21423146,11453600,6799065,3129875,5420491,239283,86,60,106,291,125,416,333,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.2512315270936,2.74418604651163,2.22641509433962,49970.9957627119,116024.868644068,11618.8719211823,6698.58620689655,3083.62068965517,5340.38522167488,21106.5477832512,11284.3349753695,53.4636696216326,40.9852216748768,32.807881773399,43.069211236092,24.8305365860891,11.4304651738711,19.7959131277708,0,0
2016,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1057,999,26,1158,253,225,228,25,0,12752768,29867363,19663894,13088988,6908623,4387337,5524015,294620,87,73,111,273,108,381,309,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",23.9356669820246,2.90804597701149,2.27927927927928,50406.1976284585,118052.818181818,12065.059602649,6536.06717123936,4150.74456007569,5226.12582781457,18603.4947965941,12383.1485335856,66.5635606050358,36.0454115421003,29.2336802270577,42.6980045074619,23.1310109298903,14.6894019401713,18.4951547279216,0,0
2017,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1154,1019,72,1257,238,220,211,27,0,14163648,31882741,37703265,15223450,7191611,4688470,5590735,248277,96,92,127,304,141,445,350,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.6239168110919,2.47916666666667,1.8740157480315,59511.1260504202,133961.096638655,12273.5251299827,6231.8986135182,4062.79896013865,4844.65771230503,32671.8067590988,13191.8977469671,40.3770071371803,38.5615251299827,30.3292894280763,44.4241854864361,22.5564389209824,14.705354222838,17.5353022502049,0,0
2018,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1205,985,126,1302,251,237,207,16,28,15911289,37425504,31753418,18083582,7768075,4706230,8717053,322857,100,90,130,267,130,397,310,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",20.8298755186722,2.51,1.93076923076923,63391.5896414343,149105.593625498,13204.3892116183,6446.53526970954,3905.58506224066,7234.06887966805,26351.3842323651,15007.1219917012,56.9500329066937,32.9460580912863,25.7261410788382,42.5145617277459,20.7560999044929,12.5749275146702,23.291745115844,0,0
2019,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1300,1002,199,1340,246,238,205,41,0,17443856,36794322,33505781,19665967,7308788,4070655,7570849,400174,98,88,127,250,109,359,285,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",18.9230769230769,2.51020408163265,1.93700787401575,70909.9837398374,149570.414634146,13418.3507692308,5622.14461538462,3131.27307692308,5823.73,25773.6776923077,15127.6669230769,58.6942504041318,27.6153846153846,21.9230769230769,47.4090975232537,19.8639018270265,11.0632694903306,20.5761340024148,0,0
2020,232025,"Emory & Henry College","VA","Private not-for-profit","Four or more years","Baccalaureate Colleges: Arts & Sciences Focus",1321,1019,203,1376,361,326,247,82,32,17536356,38035648,36535368,18978469,8595724,3870564,7751464,281540,92,95,124,246,131,377,289,"FASB/private nonprofit (DRVF F2)","Campus/institution-level finance reporting",27.327781983346,3.92391304347826,2.91129032258065,48577.163434903,105361.905817175,13275.061317184,6506.98258894777,2930.02573807721,5867.87585162755,27657.3565480696,14366.7441332324,51.9454710296062,28.5389856169569,21.8773656320969,46.1050538694648,22.5991259567866,10.1761484384333,20.3794713843182,0,0
